date,name
2026-01-01,New Year's Day
2026-01-14,Makar Sankranti
2026-01-26,Republic Day
2026-03-20,Holi
2026-04-02,Good Friday
2026-04-06,Ram Navami
2026-04-14,Dr. Ambedkar Jayanti
2026-04-14,Tamil New Year
2026-05-01,Labour Day
2026-05-12,Buddha Purnima
2026-06-07,Eid ul-Fitr
2026-06-27,Bakrid (Eid ul-Adha)
2026-07-17,Muharram
2026-08-15,Independence Day
2026-08-22,Janmashtami
2026-09-17,Ganesh Chaturthi
2026-09-25,Milad-un-Nabi
2026-10-02,Gandhi Jayanti
2026-10-20,Dussehra
2026-10-28,Maharishi Valmiki Jayanti
2026-11-08,Diwali
2026-11-09,Govardhan Puja
2026-11-10,Bhai Dooj
2026-11-19,Guru Nanak Jayanti
2026-12-25,Christmas Day
